STATE,STATENAME,YEAR,ROUTENAME,RUR_URBNAME,FUNC_SYSNAME,RD_OWNERNAME,TYP_INTNAME
8,Colorado,2021,U.S. Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Major Collector,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Local,County Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Urban,Principal Arterial - Other,County Highway Agency,Four-Way Intersection
8,Colorado,2021,County Road,Rural,Local,County Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Major Collector,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Major Collector,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,T-Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other Freeways and Expressways,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,County Road,Rural,Minor Collector,County Highway Agency,T-Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Trafficway Not in State Inventory,Trafficway Not in State Inventory,Trafficway Not in State Inventory,Not an Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Major Collector,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,County Road,Rural,Major Collector,County Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Major Collector,County Highway Agency,Four-Way Intersection
8,Colorado,2021,County Road,Urban,Major Collector,County Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,T-Intersection
8,Colorado,2021,County Road,Rural,Local,County Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Minor Collector,County Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Major Collector,County Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Major Collector,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,T-Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Urban,Local,County Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,T-Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,T-Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,T-Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,T-Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,T-Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,T-Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,T-Intersection
8,Colorado,2021,County Road,Urban,Local,County Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Minor Collector,County Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Major Collector,State Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Rural,Minor Arterial,State Highway Agency,Four-Way Intersection
8,Colorado,2021,State Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Minor Collector,County Highway Agency,T-Intersection
8,Colorado,2021,County Road,Rural,Major Collector,County Highway Agency,T-Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other Freeways and Expressways,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Local,County Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other Freeways and Expressways,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Major Collector,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,T-Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,T-Intersection
8,Colorado,2021,County Road,Urban,Minor Arterial,County Highway Agency,T-Intersection
8,Colorado,2021,County Road,Rural,Minor Arterial,County Highway Agency,Four-Way Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Minor Collector,County Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Minor Arterial,State Highway Agency,Four-Way Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Minor Collector,County Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Frontage Road,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Major Collector,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Minor Collector,County Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Urban,Minor Arterial,County Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,T-Intersection
8,Colorado,2021,County Road,Urban,Major Collector,County Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other Freeways and Expressways,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Minor Arterial,State Highway Agency,Four-Way Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Major Collector,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,County Road,Rural,Local,County Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Rural,Minor Collector,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Urban,Principal Arterial - Other Freeways and Expressways,State Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Local,County Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,State Highway,Rural,Major Collector,State Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Minor Collector,County Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,T-Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,County Road,Rural,Major Collector,County Highway Agency,Not an Intersection
8,Colorado,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
8,Colorado,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,T-Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,Four-Way Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Minor Arterial,City or Municipal Highway Agency,Not an Intersection
8,Colorado,2021,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,Four-Way Intersection
